scenario,instance,reschedule_rate_pct,highstab_threshold_P50,method,trial,union_hv,highstab_hv,aoc
la36M,la36_la36_middle,54,8,GA,4,0.506533,0.000000,0.177765
la36M,la36_la36_middle,54,8,GA,5,0.512244,0.000000,0.120924
la36M,la36_la36_middle,54,8,GA,6,0.512244,0.000000,0.231996
la36M,la36_la36_middle,54,8,GA,7,0.500823,0.000000,0.259523
la36M,la36_la36_middle,54,8,GA,8,0.512244,0.000000,0.265778
la36M,la36_la36_middle,54,8,GA,9,0.500823,0.000000,0.185791
la36M,la36_la36_middle,54,8,Memetic-LS,0,0.838681,0.005576,0.430947
la36M,la36_la36_middle,54,8,Memetic-LS,1,0.893653,0.005576,0.414805
la36M,la36_la36_middle,54,8,Memetic-LS,2,0.781082,0.005576,0.392351
la36M,la36_la36_middle,54,8,Memetic-LS,3,0.816240,0.005576,0.375576
la36M,la36_la36_middle,54,8,Memetic-LS,4,0.911897,0.005576,0.392898
la36M,la36_la36_middle,54,8,Memetic-LS,5,0.871741,0.005576,0.406305
la36M,la36_la36_middle,54,8,Memetic-LS,6,0.872288,0.005576,0.419599
la36M,la36_la36_middle,54,8,Memetic-LS,7,0.909891,0.005576,0.411660
la36M,la36_la36_middle,54,8,Memetic-LS,8,0.837586,0.005576,0.393902
